#OTU ID,W12t1b,W12t1c,W12t1l,W12t2b,W12t2c,W12t2l,W12t3b,W12t3c,W12t3l,W12t4b,W12t4c,W12t4l,W12t5b,W12t5c,W12t5l,W12t6b,W12t6c,W12t6l,W48t21b,W48t21c,W48t21l,W48t22b,W48t22c,W48t22l,W48t23b,W48t23c,W48t23l,W48t24b,W48t24c,W48t24l,W48t25b,W48t25c,W48t25l,W48t26b,W48t26c,W48t26l,WC10Mb,WC10Mc,WC10Ml,WC31Hb,WC31Hc,WC31Hl,WC32Hb,WC32Hc,WC32Hl,WC33Hb,WC33Hc,WC33Hl,WC8Mb,WC8Mc,WC8Ml,WC9Mb,WC9Mc,WC9Ml
Zotu15809,0,16,4,0,0,4,0,8,12,0,5,0,1,5,0,0,9,24,3,1,2,0,9,0,1,5,0,0,0,2,1,21,37,1,4,68,0,7,12,0,7,33,2,0,4,0,5,50,0,0,1,0,11,6
Zotu1581,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,18,2,0,5,3,0,66,0,0,9,0,0,3,0,0,0,0,0,5,0,5,17,3,0,0,3,0,0,0,0,0,1,6
Zotu15810,0,0,0,1,0,0,0,0,2,0,0,1,0,1,1,0,5,0,0,0,0,0,1,17,1,0,0,0,10,0,0,10,33,0,6,0,0,3,1,0,2,1,0,2,8,0,0,0,0,7,0,0,0,0
Zotu15811,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,50,0,2,1,0,0,1,1,8,1,0,5,0,0,1,0,0,5,0,2,0,0,0,0,0,0,18,0,0,0,0
Zotu15812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu15813,0,2,1,0,0,0,0,4,0,0,0,2,0,0,0,0,2,3,0,3,4,0,1,0,0,4,0,0,1,0,0,2,0,0,4,0,0,1,2,0,5,6,0,3,1,0,1,3,0,0,0,1,6,4
Zotu15814,0,24,0,0,2,0,2,18,0,0,21,1,2,2,0,0,16,0,0,15,8,0,7,0,0,15,0,0,9,0,0,28,0,2,15,0,0,13,0,1,19,0,0,21,8,0,24,1,0,29,0,0,13,0
Zotu15815,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,14,0,0,46,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Zotu15816,1,0,0,0,0,0,1,0,0,1,0,0,1,2,7,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0
Zotu15817,0,2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,2,4,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,2,0,1,0,0,3,2,0,1,1,0,4,2
Zotu15818,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,1,1,0,0,0,0,4,18,0,1,2,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0
Zotu15819,0,0,3,0,3,9,0,0,0,0,0,1,0,0,0,0,3,0,0,8,6,0,1,0,0,4,0,0,2,0,0,7,0,0,2,0,1,1,0,0,0,2,0,4,0,0,4,1,0,4,0,0,3,1
Zotu1582,0,1,0,0,3,10,0,3,5,0,0,7,0,5,19,0,0,9,0,1,24,0,1,6,0,1,7,1,3,15,0,4,4,0,0,24,0,5,6,0,0,12,0,3,2,0,11,30,0,2,16,0,3,10
Zotu15820,0,0,1,0,0,0,0,0,5,0,0,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
